Organization,Years in GSoC,Total
TARDIS SN,"2021, 2020, 2016, 2015",4
TEAMMATES National University of Singapore,"2018, 2017, 2016, 2015",4
The Apache Software Foundation,"2021, 2020, 2019, 2009",4
The Center for Connected Learning and Computer Based Modeling,"2019, 2018, 2017, 2016",4
The Concord Consortium,"2015, 2014, 2013, 2012",4
The Fedora Project,"2015, 2013, 2012, 2011",4
The GNU Project,"2020, 2019, 2017, 2010",4
The LLVM Compiler Infrastructure,"2021, 2020, 2016, 2011",4
WSO2,"2017, 2016, 2015, 2014",4
XBMC Foundation,"2018, 2017, 2015, 2012",4
Zulip,"2021, 2020, 2018, 2017",4
aimacode,"2019, 2018, 2017, 2016",4
coala,"2021, 2019, 2018, 2017",4
libvirt,"2021, 2020, 2018, 2017",4
lowRISC,"2020, 2017, 2016, 2015",4
openSUSE Project,"2021, 2020, 2011, 2009",4
AOSSIE Australian Open Source Software Innovation and Education,"2019, 2018, 2017",3
AbiWord,"2011, 2010, 2009",3
Android Graphics Tools Team,"2021, 2020, 2019",3
BEAM Community,"2015, 2014, 2013",3
BeagleBoard org Foundation,"2021, 2018, 2017",3
Beam Community,"2018, 2017, 2016",3
Benetech,"2014, 2013, 2012",3
BuildmLearn,"2016, 2015, 2014",3
CGAL Project,"2021, 2020, 2018",3
CLiPS University of Antwerp,"2019, 2018, 2017",3
Catroid Project,"2013, 2012, 2011",3
CircuitVerse org,"2021, 2020, 2019",3
Classical Language Toolkit,"2018, 2017, 2016",3
Code for America,"2013, 2012, 2011",3
Cuneiform Digital Library Initiative CDLI ,"2021, 2020, 2019",3
DBpedia DBpedia Spotlight,"2015, 2014, 2013",3
Drizzle,"2012, 2011, 2010",3
Eclipse Foundation,"2020, 2016, 2009",3
Etherboot Project,"2011, 2010, 2009",3
FOSSology,"2021, 2020, 2018",3
GNU Compiler Collection GCC ,"2021, 2020, 2018",3
GNU Image Manipulation Program,"2013, 2011, 2009",3
GNU Mailman,"2019, 2016, 2015",3
Genome Informatics,"2013, 2012, 2011",3
Gephi Consortium,"2013, 2012, 2011",3
Haskell org,"2021, 2020, 2018",3
Health Information Systems Programme,"2016, 2014, 2013",3
HelenOS group at Department of Distributed and Dependable Systems Charles University in Prague,"2014, 2012, 2011",3
Hydra Ecosystem,"2021, 2020, 2019",3
Intel Media And Audio For Linux,"2020, 2019, 2018",3
Jenkins project,"2020, 2019, 2018",3
Jikes RVM,"2012, 2011, 2010",3
Jitsi,"2018, 2017, 2014",3
Kernel org the Linux Kernel Organization,"2012, 2011, 2010",3
Libre Space Foundation,"2021, 2020, 2019",3
LimeSurvey,"2011, 2010, 2009",3
Liquid Galaxy project,"2021, 2020, 2019",3
LuaRocks,"2019, 2018, 2017",3
MBDyn,"2021, 2020, 2017",3
MacPorts,"2020, 2019, 2013",3
Mifos Initiative,"2017, 2016, 2014",3
Mobile Robot Programming Toolkit MRPT ,"2018, 2017, 2016",3
MovingBlocks,"2018, 2017, 2016",3
Natural User Interface Group,"2012, 2011, 2009",3
Neovim,"2020, 2019, 2018",3
OGDF Open Graph Drawing Framework,"2014, 2013, 2012",3
Open Data Kit,"2019, 2018, 2017",3
Open Lighting Project,"2014, 2013, 2012",3
Open Roberta,"2021, 2020, 2019",3
OpenICC,"2012, 2010, 2009",3
OpenKeychain OpenPGP for Android ,"2016, 2015, 2014",3
OpenNMS,"2013, 2012, 2011",3
Openwall,"2015, 2013, 2012",3
Orange Data Mining Fruitful Fun,"2016, 2012, 2011",3
PLASMA UMass,"2016, 2015, 2013",3
PRISM Model Checker,"2016, 2014, 2013",3
Parrot Foundation,"2013, 2012, 2011",3
Pharo Consortium,"2021, 2019, 2017",3
Pitivi,"2021, 2020, 2019",3
Point Cloud Library PCL ,"2014, 2012, 2011",3
Processing,"2013, 2012, 2011",3
Qubes OS,"2021, 2020, 2017",3
Raxa,"2014, 2013, 2012",3
Rockbox,"2011, 2010, 2009",3
RouteFlow,"2015, 2014, 2013",3
SPDX,"2021, 2020, 2018",3
STE AR Group,"2021, 2018, 2017",3
SageMath,"2021, 2020, 2019",3
Scala,"2018, 2017, 2016",3
Stony Brook University Biomedical Informatics,"2018, 2017, 2016",3
Submitty,"2020, 2019, 2018",3
SymbiFlow,"2021, 2020, 2019",3
Synfig,"2021, 2020, 2019",3
TensorFlow,"2021, 2020, 2019",3
The Codehaus,"2011, 2010, 2009",3
The Globus Alliance,"2011, 2010, 2009",3
The Mifos Initiative,"2020, 2019, 2018",3
The STE AR Group,"2016, 2015, 2014",3
The Terasology Foundation,"2021, 2020, 2019",3
The Wiselib,"2014, 2013, 2012",3
The syslog ng project,"2016, 2015, 2014",3
UCSC Xena,"2019, 2018, 2017",3
Umit Project,"2012, 2011, 2009",3
Xiph Org Foundation,"2021, 2015, 2009",3
apertus Association,"2021, 2020, 2019",3
appleseedhq,"2019, 2018, 2017",3
cBioPortal for Cancer Genomics,"2019, 2017, 2016",3
illumos,"2013, 2012, 2011",3
lmonade scientific software distribution,"2015, 2014, 2013",3
syslog ng,"2021, 2020, 2019",3
vitrivr,"2021, 2018, 2016",3
webpack,"2020, 2019, 2018",3
52 North GmbH,"2021, 2020",2
AOSSIE,"2021, 2020",2
AboutCode,"2021, 2017",2
AboutCode org,"2020, 2019",2
Accord Project,"2021, 2020",2
AerospaceResearch Net,"2014, 2013",2
Ankur India,"2013, 2012",2
Apertus Association,"2018, 2017",2
Audacity,"2021, 2009",2
Bazel,"2019, 2017",2
BeeWare Project,"2018, 2017",2
Berkman Center at Harvard University,"2010, 2009",2
Boost C ,"2020, 2019",2
CCExtractor development,"2015, 2014",2
CGAL Computational Geometry Algorithms Library,"2011, 2010",2
CHAOSS,"2020, 2019",2
CRIU,"2021, 2020",2
Canadian Centre for Computational Genomics,"2020, 2018",2
Casbin,"2021, 2020",2
CiviCRM LLC,"2021, 2018",2
Climate Code Foundation,"2012, 2011",2
Connexions,"2012, 2011",2
Continuous Delivery Foundation,"2021, 2020",2
Conversations im,"2018, 2017",2
Crypto Stick,"2014, 2013",2
Dart,"2021, 2020",2
Dept of Biomedical Informatics Emory University,"2013, 2012",2
Developers Italia,"2019, 2018",2
Digital Impact Alliance,"2019, 2018",2
Digital Impact Alliance DIAL at UN Foundation,"2021, 2020",2
Digital Mars,"2012, 2011",2
Discourse,"2017, 2016",2
Distributed and Unified Numerics Environment DUNE ,"2016, 2013",2
DocBook Project,"2012, 2010",2
DuraSpace,"2011, 2010",2
ESUG European Smalltalk User Group ,"2013, 2012",2
Elastic,"2020, 2018",2
Electronic Frontier Foundation The Tor Project,"2012, 2011",2
FOSDEM,"2019, 2017",2
FRRouting,"2021, 2020",2
FrameNet Brasil UFJF ,"2021, 2020",2
FreeBSD Project,"2021, 2020",2
FreedroidRPG,"2011, 2010",2
GCC the GNU Compiler Collection,"2011, 2010",2
GENIVI Alliance,"2019, 2018",2
GPAC,"2020, 2016",2
Gambit Software Tools for Game Theory,"2016, 2014",2
Geeklog,"2010, 2009",2
GeomScale,"2021, 2020",2
GitHub,"2016, 2015",2
Global Alliance for Genomics Health,"2016, 2015",2
Go OpenOffice,"2010, 2009",2
Grassroots DICOM,"2012, 2011",2
Green Navigation,"2017, 2016",2
Hedgewars Project,"2012, 2011",2
InterMine,"2019, 2018",2
Interface Ecology Lab Texas A M University,"2012, 2011",2
Internet Systems Consortium,"2019, 2018",2
JRuby,"2013, 2012",2
JSK Robotics Laboratory,"2017, 2016",2
JSK Robotics Laboratory The University of Tokyo,"2019, 2018",2
Joomla,"2019, 2017",2
Joomla Open Source Matters ,"2014, 2013",2
Joplin,"2021, 2020",2
K 9 Mail,"2017, 2011",2
Kapitan,"2020, 2019",2
Kodi Foundation,"2020, 2019",2
LEAP Encryption Access Project,"2018, 2014",2
Libvirt,"2019, 2016",2
Linkerd,"2020, 2019",2
Linux Trace Toolkit next generation project LTTng ,"2014, 2013",2
MDAnalysis,"2021, 2020",2
MGGG Redistricting Lab,"2021, 2020",2
MINIX 3,"2012, 2009",2
MIT Media Lab,"2016, 2015",2
Maemo Community,"2010, 2009",2
Mapnik,"2011, 2010",2
MetaBrainz Foundation,"2016, 2009",2
MetaBrainz Foundation Inc,"2021, 2019",2
Mixxx,"2020, 2011",2
Moira,"2020, 2019",2
Monkey Project,"2014, 2013",2
MoveIt,"2021, 2020",2
NESCent National Evolutionary Synthesis Center,"2010, 2009",2
NV Access,"2020, 2019",2
National Evolutionary Synthesis Center NESCent ,"2013, 2011",2
NetSurf,"2014, 2009",2
Netfilter Project,"2014, 2013",2
Network Time Foundation,"2015, 2013",2
OAR,"2010, 2009",2
OGRE Object Oriented Graphics Rendering Engine ,"2013, 2012",2
OMII UK,"2010, 2009",2
OSGeo Open Source Geospatial Foundation ,"2013, 2009",2
Open Detection,"2017, 2016",2
Open States,"2018, 2017",2
OpenAFS,"2010, 2009",2
OpenIntents,"2012, 2011",2
OpenMined,"2021, 2020",2
Orcasound,"2021, 2020",2
Oregon State University Open Source Lab,"2010, 2009",2
PMD,"2018, 2017",2
Pardus,"2010, 2009",2
Percona,"2020, 2019",2
Physical Web Project,"2017, 2016",2
Point Cloud Library,"2021, 2020",2
Polly Labs,"2018, 2017",2
Postman,"2021, 2020",2
Processing Foundation,"2021, 2020",2
Public Laboratory for Open Technology and Science,"2014, 2013",2
PulseAudio,"2013, 2012",2
QEMU org,"2013, 2011",2
Read the Docs,"2019, 2018",2
Rspamd,"2018, 2017",2
SCoRe Lab,"2021, 2020",2
SIP Communicator,"2010, 2009",2
SWIG,"2012, 2009",2
Sakai Foundation,"2010, 2009",2
Sakai Project,"2012, 2011",2
Scaffold Hunter,"2014, 2013",2
Scilab Enterprises,"2016, 2015",2
Scribus Team,"2011, 2009",2
Selenium,"2011, 2010",2
SharpDevelop,"2010, 2009",2
SimpleCV,"2013, 2012",2
Software Heritage,"2021, 2019",2
Software and Computational Systems Lab at LMU Munich,"2019, 2018",2
StatusNet,"2011, 2010",2
Steel Bank Common Lisp,"2014, 2013",2
Subsurface,"2015, 2014",2
Sunlight Labs,"2011, 2010",2
SuperTuxKart,"2014, 2013",2
Swathanthra Malayalam Computing,"2014, 2013",2
Systers Women in Computing,"2010, 2009",2
Tcl Tk Community,"2011, 2010",2
The Apertium Project,"2016, 2009",2
The Asterisk Project,"2010, 2009",2
The CGAL Project,"2017, 2013",2
The FreeBSD Project,"2010, 2009",2
The Gambit Project,"2012, 2011",2
The OpenBSD Foundation,"2015, 2014",2
The OpenCog Foundation,"2015, 2014",2
The Privly Foundation,"2014, 2013",2
ThinkUp,"2014, 2013",2
Thousand Parsec,"2010, 2009",2
Tianocore,"2012, 2011",2
Tor,"2017, 2013",2
Twitter,"2014, 2012",2
Urban Energy Systems Laboratory Empa,"2017, 2016",2
ViSP,"2018, 2017",2
Visualization Toolkit VTK ,"2014, 2011",2
Wikimedia,"2014, 2013",2
Wireshark,"2020, 2013",2
X Org,"2010, 2009",2
XMMS2,"2010, 2009",2
Xen Project,"2017, 2014",2
Zulip Open Source Project,"2019, 2016",2
abiword,"2013, 2012",2
appleseed,"2020, 2014",2
caMicroscope,"2021, 2020",2
gRPC,"2018, 2016",2
gprMax,"2021, 2019",2
jQuery Foundation,"2016, 2015",2
mlpack scalable C machine learning library,"2014, 2013",2
mypy,"2021, 2020",2
oVirt,"2017, 2014",2
ownCloud,"2017, 2016",2
radare,"2018, 2016",2
 cole Polytechnique F d rale de Lausanne Scala team,2010,1
3DTK,2018,1
AFLplusplus,2021,1
AOSSIE The Australian National University s Open Source Software Innovation and Education,2016,1
API Client Tools at Google,2019,1
Academy Software Foundation ASWF ,2020,1
Africa Soil Information Service,2015,1
AnitaB org Open Source,2020,1
AnkiDroid,2021,1
ArchC,2016,1
Arches Project,2014,1
Arduino,2020,1
Ardupilot org,2019,1
Artica ST Pandora FMS ,2012,1
Association Gephi,2009,1
Association Tatoeba,2014,1
Astrometry net,2011,1
Atheme org,2009,1
Atomic Blue,2011,1
BOINC project University of California Berkeley,2012,1
BZFlag,2009,1
Babel,2017,1
Battle For Wesnoth,2012,1
Bench Routes,2021,1
Berkman Center for Internet Society at Harvard University,2012,1
Berkman Center for Internet and Society,2016,1
Berkman Klein Center for Internet Society at Harvard University,2018,1
Berkman Klein Center for Internet and Society,2019,1
Berkman Klein Center for Internet and Society at Harvard University,2017,1
BigBlueButton,2010,1
Bika Open Source LIMS Collective,2015,1
Bio4j,2014,1
BioGears,2020,1
BioJS,2016,1
BioJavaScript,2014,1
Bioconductor open source software for bioinformatics,2013,1
Bloomington IN,2012,1
Bloomington IN USA,2013,1
Bookie,2014,1
Boost C Libraries ,2009,1
Buildroot,2019,1
BumbleBee Autonomous Underwater Vehicle BBAUV ,2014,1
CASTOR,2021,1
CBMI UTHSC,2019,1
CERN Virtual Machine CernVM ,2011,1
CGAL Computational Geometry Algorithms Library ,2012,1
CGAL project,2019,1
CHAOSS Community Health Analytics Open Source Software,2018,1
CHAOSS Project,2021,1
CMU Sphinx,2017,1
CMUSphinx,2012,1
CMUSphinx Speech Recognition Toolkit,2011,1
CNCF,2021,1
CRIU Checkpoint Restore in User space ,2019,1
CVXPY,2016,1
Cadasta,2017,1
Canadian Center for Computational Genomics,2019,1
Canadian Centre for Computational Genomics C3G Montreal node,2016,1
Catrobat formerly Catroid Project ,2014,1
Celluloid,2016,1
CentOS Project,2015,1
Center for Research In Open Source Software CROSS at UC Santa Cruz,2018,1
Center for Research in Open Source Software UC Santa Cruz,2021,1
Center for Research in Open Source Software at UC Santa Cruz,2019,1
Center for the Study of Complex Systems Univ of Michigan,2009,1
Center for the Study of Complex Systems University of Michigan,2011,1
Centre for Computational Medicine SickKids Research Institute,2014,1
Ceph Foundation,2020,1
Ceph Storage,2015,1
Cesium Community,2015,1
Cesium community,2013,1
Cilium,2021,1
Clojure dev,2012,1
CodeCombat,2014,1
CodeMirror,2014,1
Comprehensive C Archive Network,2009,1
Crowdsourcing Biology,2012,1
Crowdsourcing Biology at the Scripps Research Institute,2013,1
Cuneiform Digital Library Initiative,2018,1
D Foundation,2016,1
D Programming Language,2019,1
DBpedia Spotlight,2012,1
DSpace Foundation,2009,1
Debian Project ,2012,1
DeepPavlov,2021,1
Department of Biomedical Informatics BMI Emory University School of Medicine,2021,1
Department of Biomedical Informatics Stony Brook University,2015,1
